0
tensor(85.5693, dtype=torch.float64)
tensor(83.9833, dtype=torch.float64)
tensor(85.1268, dtype=torch.float64)
tensor(85.1315, dtype=torch.float64)
tensor(84.1879, dtype=torch.float64)
tensor(84.3478, dtype=torch.float64)
tensor(83.5477, dtype=torch.float64)
tensor(83.7004, dtype=torch.float64)
tensor(83.3979, dtype=torch.float64)
tensor(84.3370, dtype=torch.float64)
tensor(84.2421, dtype=torch.float64)
tensor(82.3144, dtype=torch.float64)
tensor(82.9386, dtype=torch.float64)
tensor(82.8034, dtype=torch.float64)
tensor(83.4747, dtype=torch.float64)
tensor(83.1007, dtype=torch.float64)
tensor(80.3469, dtype=torch.float64)
tensor(81.3755, dtype=torch.float64)
tensor(80.0186, dtype=torch.float64)
tensor(80.1117, dtype=torch.float64)
tensor(79.6758, dtype=torch.float64)
tensor(80.1586, dtype=torch.float64)
tensor(79.3001, dtype=torch.float64)
tensor(79.9294, dtype=torch.float64)
tensor(79.3514, dtype=torch.float64)
tensor(80.0871, dtype=torch.float64)
tensor(78.6582, dtype=torch.float64)
tensor(79.7174, dtype=torch.float64)
tensor(79.6192, dtype=torch.float64)
tensor(79.2794, dtype=torch.float64)
tensor(79.1595, dtype=torch.float64)
tensor(78.5994, dtype=torch.float64)
tensor(78.6695, dtype=torch.float64)
tensor(78.3128, dtype=torch.float64)
tensor(77.2079, dtype=torch.float64)
tensor(78.8277, dtype=torch.float64)
tensor(76.0441, dtype=torch.float64)
tensor(77.9274, dtype=torch.float64)
tensor(76.8532, dtype=torch.float64)
tensor(76.9386, dtype=torch.float64)
tensor(75.1038, dtype=torch.float64)
tensor(77.0213, dtype=torch.float64)
tensor(75.4531, dtype=torch.float64)
tensor(75.5392, dtype=torch.float64)
tensor(74.7328, dtype=torch.float64)
tensor(75.5613, dtype=torch.float64)
tensor(74.3123, dtype=torch.float64)
tensor(74.8814, dtype=torch.float64)
tensor(74.7779, dtype=torch.float64)
tensor(74.9570, dtype=torch.float64)
tensor(72.6366, dtype=torch.float64)
tensor(74.6788, dtype=torch.float64)
tensor(73.2569, dtype=torch.float64)
tensor(72.7763, dtype=torch.float64)
tensor(71.8928, dtype=torch.float64)
tensor(72.4229, dtype=torch.float64)
tensor(72.5453, dtype=torch.float64)
tensor(72.0188, dtype=torch.float64)
tensor(71.8345, dtype=torch.float64)
tensor(72.4052, dtype=torch.float64)
tensor(71.2019, dtype=torch.float64)
tensor(70.5050, dtype=torch.float64)
tensor(71.2134, dtype=torch.float64)
tensor(71.7229, dtype=torch.float64)
tensor(70.4289, dtype=torch.float64)
tensor(70.8371, dtype=torch.float64)
tensor(71.6233, dtype=torch.float64)
tensor(69.9686, dtype=torch.float64)
tensor(71.1753, dtype=torch.float64)
tensor(69.5834, dtype=torch.float64)
tensor(70.7728, dtype=torch.float64)
tensor(68.6909, dtype=torch.float64)
tensor(68.8526, dtype=torch.float64)
tensor(69.8426, dtype=torch.float64)
tensor(68.3712, dtype=torch.float64)
tensor(70.2052, dtype=torch.float64)
tensor(69.3204, dtype=torch.float64)
tensor(69.3536, dtype=torch.float64)
tensor(68.9763, dtype=torch.float64)
tensor(69.5116, dtype=torch.float64)
tensor(69.2864, dtype=torch.float64)
tensor(68.3959, dtype=torch.float64)
tensor(67.1767, dtype=torch.float64)
tensor(68.6468, dtype=torch.float64)
tensor(69.2303, dtype=torch.float64)
tensor(68.6800, dtype=torch.float64)
tensor(68.6303, dtype=torch.float64)
tensor(67.8679, dtype=torch.float64)
tensor(68.8802, dtype=torch.float64)
tensor(67.1677, dtype=torch.float64)
tensor(66.8697, dtype=torch.float64)
tensor(68.5492, dtype=torch.float64)
tensor(68.1252, dtype=torch.float64)
tensor(68.2042, dtype=torch.float64)
tensor(68.3487, dtype=torch.float64)
tensor(67.7212, dtype=torch.float64)
tensor(66.5545, dtype=torch.float64)
tensor(66.8989, dtype=torch.float64)
tensor(67.0454, dtype=torch.float64)
tensor(67.6209, dtype=torch.float64)
tensor(66.7685, dtype=torch.float64)
tensor(66.8455, dtype=torch.float64)
tensor(66.4317, dtype=torch.float64)
tensor(67.2096, dtype=torch.float64)
tensor(65.3444, dtype=torch.float64)
tensor(66.5923, dtype=torch.float64)
tensor(66.9464, dtype=torch.float64)
tensor(65.0450, dtype=torch.float64)
tensor(65.9025, dtype=torch.float64)
tensor(66.9692, dtype=torch.float64)
tensor(66.6301, dtype=torch.float64)
tensor(66.3680, dtype=torch.float64)
tensor(67.0255, dtype=torch.float64)
tensor(65.2232, dtype=torch.float64)
tensor(65.6497, dtype=torch.float64)
tensor(65.0501, dtype=torch.float64)
tensor(64.0725, dtype=torch.float64)
tensor(64.5707, dtype=torch.float64)
tensor(64.3354, dtype=torch.float64)
tensor(63.8950, dtype=torch.float64)
tensor(64.9834, dtype=torch.float64)
tensor(65.5329, dtype=torch.float64)
tensor(63.1561, dtype=torch.float64)
tensor(63.6904, dtype=torch.float64)
tensor(64.4597, dtype=torch.float64)
tensor(64.4594, dtype=torch.float64)
tensor(63.9008, dtype=torch.float64)
tensor(65.7124, dtype=torch.float64)
tensor(64.4435, dtype=torch.float64)
tensor(62.6600, dtype=torch.float64)
tensor(64.0461, dtype=torch.float64)
tensor(62.7253, dtype=torch.float64)
tensor(63.3629, dtype=torch.float64)
tensor(63.0331, dtype=torch.float64)
tensor(63.2460, dtype=torch.float64)
tensor(62.3239, dtype=torch.float64)
tensor(61.7962, dtype=torch.float64)
tensor(62.8821, dtype=torch.float64)
tensor(62.4386, dtype=torch.float64)
tensor(61.3419, dtype=torch.float64)
tensor(60.9727, dtype=torch.float64)
tensor(63.3901, dtype=torch.float64)
tensor(61.7519, dtype=torch.float64)
tensor(61.4114, dtype=torch.float64)
tensor(61.4210, dtype=torch.float64)
tensor(60.8806, dtype=torch.float64)
tensor(62.4340, dtype=torch.float64)
tensor(60.5842, dtype=torch.float64)
tensor(62.2708, dtype=torch.float64)
tensor(61.0606, dtype=torch.float64)
tensor(60.7932, dtype=torch.float64)
tensor(60.3454, dtype=torch.float64)
tensor(62.3508, dtype=torch.float64)
tensor(59.5789, dtype=torch.float64)
tensor(60.8377, dtype=torch.float64)
tensor(61.2876, dtype=torch.float64)
tensor(60.1579, dtype=torch.float64)
tensor(61.9795, dtype=torch.float64)
tensor(59.8876, dtype=torch.float64)
tensor(60.8606, dtype=torch.float64)
tensor(59.5988, dtype=torch.float64)
tensor(62.1651, dtype=torch.float64)
tensor(59.6697, dtype=torch.float64)
tensor(59.5393, dtype=torch.float64)
tensor(59.7642, dtype=torch.float64)
tensor(60.2914, dtype=torch.float64)
tensor(59.7993, dtype=torch.float64)
tensor(59.1264, dtype=torch.float64)
tensor(59.1988, dtype=torch.float64)
tensor(59.9256, dtype=torch.float64)
tensor(57.7811, dtype=torch.float64)
tensor(58.7442, dtype=torch.float64)
tensor(59.1344, dtype=torch.float64)
tensor(58.1045, dtype=torch.float64)
tensor(59.6099, dtype=torch.float64)
tensor(57.2527, dtype=torch.float64)
tensor(57.4754, dtype=torch.float64)
tensor(57.1476, dtype=torch.float64)
tensor(56.5757, dtype=torch.float64)
tensor(57.6278, dtype=torch.float64)
tensor(57.4748, dtype=torch.float64)
tensor(57.2183, dtype=torch.float64)
tensor(56.7877, dtype=torch.float64)
tensor(56.9479, dtype=torch.float64)
tensor(57.2752, dtype=torch.float64)
tensor(55.9739, dtype=torch.float64)
tensor(56.9379, dtype=torch.float64)
tensor(57.4505, dtype=torch.float64)
tensor(57.1101, dtype=torch.float64)
tensor(56.2694, dtype=torch.float64)
tensor(56.0958, dtype=torch.float64)
tensor(57.1215, dtype=torch.float64)
tensor(55.7644, dtype=torch.float64)
tensor(56.5912, dtype=torch.float64)
tensor(57.3342, dtype=torch.float64)
tensor(57.4706, dtype=torch.float64)
tensor(56.0953, dtype=torch.float64)
tensor(57.1459, dtype=torch.float64)
tensor(56.2134, dtype=torch.float64)
tensor(56.3721, dtype=torch.float64)
tensor(56.3672, dtype=torch.float64)
tensor(56.4165, dtype=torch.float64)
tensor(56.3619, dtype=torch.float64)
tensor(55.7377, dtype=torch.float64)
tensor(55.5829, dtype=torch.float64)
tensor(56.5268, dtype=torch.float64)
tensor(54.6756, dtype=torch.float64)
tensor(55.5722, dtype=torch.float64)
tensor(55.8290, dtype=torch.float64)
tensor(55.1927, dtype=torch.float64)
tensor(55.0723, dtype=torch.float64)
tensor(55.3646, dtype=torch.float64)
tensor(54.9065, dtype=torch.float64)
tensor(55.2845, dtype=torch.float64)
tensor(54.2380, dtype=torch.float64)
tensor(55.6735, dtype=torch.float64)
tensor(53.6061, dtype=torch.float64)
tensor(54.8923, dtype=torch.float64)
tensor(55.4827, dtype=torch.float64)
tensor(53.3884, dtype=torch.float64)
tensor(54.3557, dtype=torch.float64)
tensor(54.3009, dtype=torch.float64)
tensor(54.1262, dtype=torch.float64)
tensor(54.7386, dtype=torch.float64)
tensor(54.3423, dtype=torch.float64)
tensor(52.9582, dtype=torch.float64)
tensor(54.4217, dtype=torch.float64)
tensor(53.7831, dtype=torch.float64)
tensor(54.6313, dtype=torch.float64)
tensor(54.3911, dtype=torch.float64)
tensor(53.3419, dtype=torch.float64)
tensor(52.9715, dtype=torch.float64)
tensor(53.6090, dtype=torch.float64)
tensor(53.9538, dtype=torch.float64)
tensor(53.9365, dtype=torch.float64)
tensor(53.3751, dtype=torch.float64)
tensor(53.6499, dtype=torch.float64)
tensor(53.3636, dtype=torch.float64)
tensor(52.6622, dtype=torch.float64)
tensor(53.7167, dtype=torch.float64)
tensor(53.1464, dtype=torch.float64)
tensor(52.7622, dtype=torch.float64)
tensor(53.0773, dtype=torch.float64)
tensor(52.8048, dtype=torch.float64)
tensor(52.3284, dtype=torch.float64)
tensor(52.1676, dtype=torch.float64)
tensor(52.8760, dtype=torch.float64)
tensor(52.4833, dtype=torch.float64)
tensor(52.3215, dtype=torch.float64)
tensor(51.7474, dtype=torch.float64)
tensor(51.7768, dtype=torch.float64)
tensor(51.0894, dtype=torch.float64)
tensor(52.4091, dtype=torch.float64)
tensor(51.7055, dtype=torch.float64)
tensor(52.5144, dtype=torch.float64)
tensor(51.4818, dtype=torch.float64)
tensor(51.6595, dtype=torch.float64)
tensor(50.9583, dtype=torch.float64)
tensor(52.4078, dtype=torch.float64)
tensor(51.5045, dtype=torch.float64)
tensor(51.7306, dtype=torch.float64)
tensor(52.0998, dtype=torch.float64)
tensor(51.5767, dtype=torch.float64)
tensor(50.7516, dtype=torch.float64)
tensor(51.6892, dtype=torch.float64)
tensor(51.9091, dtype=torch.float64)
tensor(51.8247, dtype=torch.float64)
tensor(51.5274, dtype=torch.float64)
tensor(50.9484, dtype=torch.float64)
tensor(51.6326, dtype=torch.float64)
tensor(51.7302, dtype=torch.float64)
tensor(51.3138, dtype=torch.float64)
tensor(50.6090, dtype=torch.float64)
tensor(51.0129, dtype=torch.float64)
tensor(52.5026, dtype=torch.float64)
tensor(51.7676, dtype=torch.float64)
tensor(51.4773, dtype=torch.float64)
tensor(50.1898, dtype=torch.float64)
tensor(51.1407, dtype=torch.float64)
tensor(50.7860, dtype=torch.float64)
tensor(50.4082, dtype=torch.float64)
tensor(50.5212, dtype=torch.float64)
tensor(50.0858, dtype=torch.float64)
tensor(50.6103, dtype=torch.float64)
tensor(50.7680, dtype=torch.float64)
tensor(49.9051, dtype=torch.float64)
tensor(50.4445, dtype=torch.float64)
tensor(49.5299, dtype=torch.float64)
tensor(50.4129, dtype=torch.float64)
tensor(49.3055, dtype=torch.float64)
tensor(50.7348, dtype=torch.float64)
tensor(49.7298, dtype=torch.float64)
tensor(49.4882, dtype=torch.float64)
tensor(49.8744, dtype=torch.float64)
tensor(49.9221, dtype=torch.float64)
tensor(50.8432, dtype=torch.float64)
tensor(49.8049, dtype=torch.float64)
tensor(49.4983, dtype=torch.float64)
tensor(48.9655, dtype=torch.float64)
tensor(49.2640, dtype=torch.float64)
tensor(49.1361, dtype=torch.float64)
tensor(49.6591, dtype=torch.float64)
tensor(49.3786, dtype=torch.float64)
tensor(49.1793, dtype=torch.float64)
tensor(48.9277, dtype=torch.float64)
tensor(49.4728, dtype=torch.float64)
tensor(49.6867, dtype=torch.float64)
tensor(48.9779, dtype=torch.float64)
tensor(49.1207, dtype=torch.float64)
tensor(48.5686, dtype=torch.float64)
tensor(48.1519, dtype=torch.float64)
tensor(49.0647, dtype=torch.float64)
tensor(48.4767, dtype=torch.float64)
tensor(48.5424, dtype=torch.float64)
tensor(48.2958, dtype=torch.float64)
tensor(47.9674, dtype=torch.float64)
tensor(47.6369, dtype=torch.float64)
tensor(48.1525, dtype=torch.float64)
tensor(47.9128, dtype=torch.float64)
tensor(48.8191, dtype=torch.float64)
tensor(47.8596, dtype=torch.float64)
tensor(47.0349, dtype=torch.float64)
tensor(47.4353, dtype=torch.float64)
tensor(47.5377, dtype=torch.float64)
tensor(47.6411, dtype=torch.float64)
tensor(47.7834, dtype=torch.float64)
tensor(48.4709, dtype=torch.float64)
tensor(47.4364, dtype=torch.float64)
tensor(47.2581, dtype=torch.float64)
tensor(47.8820, dtype=torch.float64)
tensor(47.4816, dtype=torch.float64)
tensor(47.3330, dtype=torch.float64)
tensor(48.4947, dtype=torch.float64)
tensor(48.3854, dtype=torch.float64)
tensor(47.7761, dtype=torch.float64)
tensor(47.6270, dtype=torch.float64)
tensor(47.3727, dtype=torch.float64)
tensor(48.6584, dtype=torch.float64)
tensor(47.1823, dtype=torch.float64)
tensor(47.8695, dtype=torch.float64)
tensor(47.6055, dtype=torch.float64)
tensor(47.2751, dtype=torch.float64)
tensor(47.6118, dtype=torch.float64)
tensor(47.4986, dtype=torch.float64)
tensor(47.3115, dtype=torch.float64)
tensor(47.4083, dtype=torch.float64)
tensor(47.9783, dtype=torch.float64)
tensor(48.1772, dtype=torch.float64)
tensor(47.1690, dtype=torch.float64)
tensor(47.8930, dtype=torch.float64)
tensor(46.4544, dtype=torch.float64)
tensor(46.9818, dtype=torch.float64)
tensor(46.6813, dtype=torch.float64)
tensor(46.2023, dtype=torch.float64)
tensor(47.4963, dtype=torch.float64)
tensor(47.2305, dtype=torch.float64)
tensor(46.2483, dtype=torch.float64)
tensor(46.2884, dtype=torch.float64)
tensor(47.1977, dtype=torch.float64)
tensor(47.9157, dtype=torch.float64)
tensor(47.0236, dtype=torch.float64)
tensor(46.2868, dtype=torch.float64)
tensor(46.8007, dtype=torch.float64)
tensor(46.6269, dtype=torch.float64)
tensor(46.2423, dtype=torch.float64)
tensor(46.3690, dtype=torch.float64)
tensor(45.5513, dtype=torch.float64)
tensor(46.8002, dtype=torch.float64)
tensor(47.3217, dtype=torch.float64)
tensor(46.2931, dtype=torch.float64)
tensor(46.1316, dtype=torch.float64)
tensor(45.9143, dtype=torch.float64)
tensor(46.4465, dtype=torch.float64)
tensor(44.7619, dtype=torch.float64)
tensor(46.6589, dtype=torch.float64)
tensor(45.7551, dtype=torch.float64)
tensor(45.7128, dtype=torch.float64)
tensor(45.3102, dtype=torch.float64)
tensor(45.4132, dtype=torch.float64)
tensor(45.4931, dtype=torch.float64)
tensor(46.7666, dtype=torch.float64)
tensor(46.6547, dtype=torch.float64)
tensor(45.3217, dtype=torch.float64)
tensor(45.8681, dtype=torch.float64)
tensor(46.0769, dtype=torch.float64)
tensor(45.7196, dtype=torch.float64)
tensor(45.4438, dtype=torch.float64)
tensor(45.8127, dtype=torch.float64)
tensor(45.0436, dtype=torch.float64)
tensor(44.3297, dtype=torch.float64)
tensor(45.6719, dtype=torch.float64)
tensor(46.1804, dtype=torch.float64)
tensor(45.2495, dtype=torch.float64)
tensor(45.0690, dtype=torch.float64)
tensor(45.5303, dtype=torch.float64)
tensor(45.6953, dtype=torch.float64)
tensor(44.8814, dtype=torch.float64)
tensor(45.5739, dtype=torch.float64)
tensor(45.0985, dtype=torch.float64)
tensor(45.5011, dtype=torch.float64)
tensor(45.3277, dtype=torch.float64)
tensor(45.0507, dtype=torch.float64)
tensor(45.4976, dtype=torch.float64)
tensor(45.2157, dtype=torch.float64)
tensor(45.9429, dtype=torch.float64)
tensor(45.2637, dtype=torch.float64)
tensor(45.7395, dtype=torch.float64)
tensor(44.9669, dtype=torch.float64)
tensor(45.2860, dtype=torch.float64)
tensor(45.2215, dtype=torch.float64)
tensor(44.8128, dtype=torch.float64)
tensor(45.0984, dtype=torch.float64)
tensor(44.1440, dtype=torch.float64)
tensor(44.9661, dtype=torch.float64)
tensor(44.2095, dtype=torch.float64)
tensor(44.4060, dtype=torch.float64)
tensor(44.4164, dtype=torch.float64)
tensor(44.9892, dtype=torch.float64)
tensor(44.1577, dtype=torch.float64)
tensor(44.0244, dtype=torch.float64)
tensor(44.5036, dtype=torch.float64)
tensor(44.6494, dtype=torch.float64)
tensor(44.9074, dtype=torch.float64)
tensor(43.6444, dtype=torch.float64)
tensor(44.2089, dtype=torch.float64)
tensor(44.0540, dtype=torch.float64)
tensor(44.5390, dtype=torch.float64)
tensor(43.8070, dtype=torch.float64)
tensor(44.2300, dtype=torch.float64)
tensor(44.4650, dtype=torch.float64)
tensor(44.0879, dtype=torch.float64)
tensor(44.7829, dtype=torch.float64)
tensor(44.3154, dtype=torch.float64)
tensor(44.4450, dtype=torch.float64)
tensor(44.0645, dtype=torch.float64)
tensor(44.6591, dtype=torch.float64)
tensor(44.6062, dtype=torch.float64)
tensor(43.6251, dtype=torch.float64)
tensor(44.9795, dtype=torch.float64)
tensor(43.9609, dtype=torch.float64)
tensor(44.9175, dtype=torch.float64)
tensor(44.9117, dtype=torch.float64)
tensor(70.9299, dtype=torch.float64)
tensor(96.3784, dtype=torch.float64)
tensor(82.8934, dtype=torch.float64)
tensor(79.6199, dtype=torch.float64)
tensor(75.2766, dtype=torch.float64)
tensor(71.5988, dtype=torch.float64)
